Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 16.67      0.04     0.04        1    40.00   217.75  findSCCs(int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
 12.50      0.07     0.03  4000011     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  8.33      0.09     0.02  1000010     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  4.17      0.10     0.01 10000020     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  4.17      0.11     0.01  5000015     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  4.17      0.12     0.01  4000011     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  4.17      0.13     0.01  4000011     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  4.17      0.14     0.01  4000010     0.00     0.00  std::_Bit_iterator::operator*() const
  4.17      0.15     0.01  3000010     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  4.17      0.16     0.01  3000000     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  4.17      0.17     0.01  3000000     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  4.17      0.18     0.01  2007833     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  4.17      0.19     0.01  2000010     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  4.17      0.20     0.01  2000000     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*)
  4.17      0.21     0.01        2     5.00    13.33  std::vector<int, std::allocator<int> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long)
  2.08      0.21     0.01  5007843     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  2.08      0.22     0.01  5000020     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  2.08      0.23     0.01  4000010     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  2.08      0.23     0.01  3000000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  2.08      0.23     0.01  3000000     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  2.08      0.24     0.01  2000010     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.24     0.00 14000070     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.24     0.00  6000060     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.24     0.00  5000010     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.24     0.00  5000010     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.24     0.00  4000040     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.24     0.00  4000016     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.24     0.00  4000012     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.24     0.00  4000011     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.24     0.00  4000010     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.24     0.00  4000010     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.24     0.00  4000010     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.24     0.00  4000010     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.24     0.00  4000000     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.24     0.00  3015657     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.24     0.00  3000001     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.24     0.00  3000001     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.24     0.00  3000001     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.24     0.00  3000001     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.24     0.00  3000000     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.24     0.00  3000000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.24     0.00  3000000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.24     0.00  3000000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.24     0.00  3000000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.24     0.00  3000000     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.24     0.00  2007835     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.24     0.00  2007833     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
